latitude,longitude,type,name,number,postal_code,street,confidence,region,region_code,county,locality,administrative_area,neighbourhood,country,country_code,continent,label,location,map_url
48.249818,11.62499,locality,Garching bei München,,,,1.0,Bavaria,BY,München,Garching bei München,Garching b. München,,Germany,DEU,Europe,"Garching bei München, BY, Germany",Garching,
53.331593,8.481026,locality,Brake,,,,1.0,Lower Saxony,NI,Wesermarsch,Brake,Brake (Unterweser),,Germany,DEU,Europe,"Brake, NI, Germany",Braak,"https://map.positionstack.com/export/embed.html?bbox=8.4204034182,53.2850787297,8.50153181391,53.3767008724&layer=mapnik&marker=53.331593,8.481026"
48.69406,9.16809,locality,Leinfelden-Echterdingen,,,,1.0,Baden-Württemberg,BW,Esslingen,Leinfelden-Echterdingen,Leinfelden-Echterdingen,,Germany,DEU,Europe,"Leinfelden-Echterdingen, BW, Germany",Leinfelden-Echterdingen,
49.945412,11.584207,locality,Bayreuth,,,,1.0,Bavaria,BY,Bayreuth,Bayreuth,Bayreuth,,Germany,DEU,Europe,"Bayreuth, BY, Germany",Bayreuth,
53.712313,9.995697,locality,Norderstedt,,,,1.0,Schleswig-Holstein,SH,Segeberg,Norderstedt,Norderstedt,,Germany,DEU,Europe,"Norderstedt, SH, Germany",Norderstedt,
50.010994,8.454352,locality,Raunheim,,,,1.0,Hesse,HE,Groß-Gerau,Raunheim,Raunheim,,Germany,DEU,Europe,"Raunheim, HE, Germany",Raunheim,
48.769924,8.935182,locality,Renningen,,,,1.0,Baden-Württemberg,BW,Böblingen,Renningen,Renningen,,Germany,DEU,Europe,"Renningen, BW, Germany",Renningen,
49.220182,8.374615,locality,Germersheim,,,,1.0,Rhineland-Palatinate,RP,Germersheim,Germersheim,Germersheim,,Germany,DEU,Europe,"Germersheim, RP, Germany",Germersheim,
49.997895,8.253032,locality,Mainz,,,,1.0,Rhineland-Palatinate,RP,Mainz,Mainz,Mainz,,Germany,DEU,Europe,"Mainz, RP, Germany",Mainz,
52.531489,13.432539,venue,Gasthaus Alt Wien,22,10407,Hufelandstraße,1.0,Berlin,BE,,Berlin,Berlin,Prenzlauer Berg,Germany,DEU,Europe,"Gasthaus Alt Wien, Berlin, Germany",Wien,
49.58181,10.916945,locality,Erlangen,,,,1.0,Bavaria,BY,Erlangen-Höchstadt,Erlangen,Herzogenaurach,,Germany,DEU,Europe,"Erlangen, BY, Germany",Erlangen,
50.094538,8.777582,locality,Offenbach am Main,,,,0.6,Hesse,HE,Offenbach am Main,Offenbach am Main,Offenbach am Main,,Germany,DEU,Europe,"Offenbach am Main, HE, Germany",Offenbach,
51.174766,6.931217,locality,Hilden,,,,1.0,North Rhine-Westphalia,NW,Mettmann,Hilden,Hilden,,Germany,DEU,Europe,"Hilden, NW, Germany",Hilden,
49.197779,9.225185,locality,Neckarsulm,,,,1.0,Baden-Württemberg,BW,Heilbronn,Neckarsulm,Neckarsulm,,Germany,DEU,Europe,"Neckarsulm, BW, Germany",Neckarsulm,
54.073812,10.770997,venue,Stockholm,,,,1.0,Schleswig-Holstein,SH,Ostholstein,Sierksdorf,Ostholstein-Mitte,,Germany,DEU,Europe,"Stockholm, Sierksdorf, SH, Germany",Stockholm,
52.125911,11.626831,locality,Magdeburg,,,,1.0,Saxony-Anhalt,ST,Magdeburg,Magdeburg,Magdeburg,,Germany,DEU,Europe,"Magdeburg, ST, Germany",Magdeburg,
49.488789,8.492765,locality,Mannheim,,,,1.0,Baden-Württemberg,BW,Mannheim,Mannheim,Mannheim,,Germany,DEU,Europe,"Mannheim, BW, Germany",Mannheim,
48.192979,11.645829,locality,Unterföhring,,,,1.0,Bavaria,BY,München,Unterföhring,Unterföhring,,Germany,DEU,Europe,"Unterföhring, BY, Germany",Unterföhring,
51.167328,6.535157,locality,Mönchengladbach,,,,1.0,North Rhine-Westphalia,NW,Rhein-Kreis Neuss,Mönchengladbach,Korschenbroich,,Germany,DEU,Europe,"Mönchengladbach, NW, Germany",Mönchengladbach,
48.360858,7.819838,locality,Lahr,,,,1.0,Baden-Württemberg,BW,Ortenaukreis,Lahr,Lahr/Schwarzwald,,Germany,DEU,Europe,"Lahr, BW, Germany",Lohr,
49.568893,10.881415,locality,Herzogenaurach,,,,1.0,Bavaria,BY,Erlangen-Höchstadt,Herzogenaurach,Herzogenaurach,,Germany,DEU,Europe,"Herzogenaurach, BY, Germany",Herzogenaurach,
48.281797,11.576474,locality,Unterschleißheim,,,,1.0,Bavaria,BY,München,Unterschleißheim,Unterschleißheim,,Germany,DEU,Europe,"Unterschleißheim, BY, Germany",Unterschleißheim,
51.326403,6.964426,locality,Heiligenhaus,,,,1.0,North Rhine-Westphalia,NW,Mettmann,Heiligenhaus,Heiligenhaus,,Germany,DEU,Europe,"Heiligenhaus, NW, Germany",Heiligenhaus,
50.880516,8.036964,locality,Siegen,,,,1.0,North Rhine-Westphalia,NW,Siegen-Wittgenstein,Siegen,Siegen,,Germany,DEU,Europe,"Siegen, NW, Germany",Siegen,
48.059431,11.667294,locality,Ottobrunn,,,,1.0,Bavaria,BY,München,Ottobrunn,Ottobrunn,,Germany,DEU,Europe,"Ottobrunn, BY, Germany",Ottobrunn,
50.870585,6.880676,locality,Hürth,,,,1.0,North Rhine-Westphalia,NW,Rhein-Erft-Kreis,Hürth,Hürth,,Germany,DEU,Europe,"Hürth, NW, Germany",Hürth,
48.807099,8.863614,locality,Heimsheim,,,,1.0,Baden-Württemberg,BW,Enzkreis,Heimsheim,Heckengäu,,Germany,DEU,Europe,"Heimsheim, BW, Germany",Heimsheim,
49.291055,8.664218,venue,Wiesloch-Walldorf,,,,0.8,Baden-Württemberg,BW,Rhein-Neckar-Kreis,Wiesloch,Wiesloch,,Germany,DEU,Europe,"Wiesloch-Walldorf, Wiesloch, BW, Germany",Wiesloch-Walldorf,
48.780891,9.255239,neighbourhood,Untertuerkheim,,,,0.6,Baden-Württemberg,BW,Esslingen,Stuttgart,Leinfelden-Echterdingen,Untertuerkheim,Germany,DEU,Europe,"Untertuerkheim, Stuttgart, BW, Germany",Untertürkheim,
51.941946,7.166349,locality,Coesfeld,,,,1.0,North Rhine-Westphalia,NW,Coesfeld,Coesfeld,Coesfeld,,Germany,DEU,Europe,"Coesfeld, NW, Germany",Coesfeld-Lette,
48.369338,10.896842,locality,Augsburg,,,,1.0,Bavaria,BY,Augsburg,Augsburg,Augsburg,,Germany,DEU,Europe,"Augsburg, BY, Germany",Augsburg,
49.921534,8.748549,locality,Darmstadt,,,,1.0,Hesse,HE,Darmstadt-Dieburg,Darmstadt,Messel,,Germany,DEU,Europe,"Darmstadt, HE, Germany",Darmstadt,
47.661536,9.473899,locality,Friedrichshafen,,,,1.0,Baden-Württemberg,BW,Bodenseekreis,Friedrichshafen,Friedrichshafen,,Germany,DEU,Europe,"Friedrichshafen, BW, Germany",Friedrichshafen,
52.478198,10.54821,locality,Gifhorn,,,,1.0,Lower Saxony,NI,Gifhorn,Gifhorn,Gifhorn,,Germany,DEU,Europe,"Gifhorn, NI, Germany",Gifhorn,
48.810228,11.367673,locality,Gaimersheim,,,,1.0,Bavaria,BY,Eichstätt,Gaimersheim,Gaimersheim,,Germany,DEU,Europe,"Gaimersheim, BY, Germany",Gaimersheim,
54.084592,12.088019,locality,Rostock,,,,1.0,Mecklenburg-Vorpommern,MV,Rostock,Rostock,Rostock,,Germany,DEU,Europe,"Rostock, MV, Germany",Rostock,
49.98942,8.425592,locality,Rüsselsheim am Main,,,,1.0,Hesse,HE,Groß-Gerau,Rüsselsheim am Main,Rüsselsheim am Main,,Germany,DEU,Europe,"Rüsselsheim am Main, HE, Germany",Rüsselsheim,
53.029599,8.731851,locality,Bremen,,,,1.0,Lower Saxony,NI,Diepholz,Bremen,Stuhr,,Germany,DEU,Europe,"Bremen, NI, Germany",Bremen,
49.784984,9.941828,locality,Wurzburg,,,,1.0,Bavaria,BY,Würzburg,Wurzburg,Würzburg,,Germany,DEU,Europe,"Wurzburg, BY, Germany",Würzburg,
51.954044,7.624747,locality,Münster,,,,1.0,North Rhine-Westphalia,NW,Münster,Münster,Münster,,Germany,DEU,Europe,"Münster, NW, Germany",Münster,
48.755271,8.24377,locality,Baden,,,,1.0,Baden-Württemberg,BW,Baden-Baden,Baden,Baden-Baden,,Germany,DEU,Europe,"Baden, BW, Germany",Baden,
49.124652,8.590566,locality,Bruchsal,,,,1.0,Baden-Württemberg,BW,Karlsruhe,Bruchsal,Bruchsal,,Germany,DEU,Europe,"Bruchsal, BW, Germany",Bruchsal,
50.025148,8.694898,locality,Dreieich,,,,1.0,Hesse,HE,Offenbach,Dreieich,Dreieich,,Germany,DEU,Europe,"Dreieich, HE, Germany",Dreieich,
48.396637,9.964547,locality,Ulm,,,,1.0,Baden-Württemberg,BW,Ulm,Ulm,Ulm,,Germany,DEU,Europe,"Ulm, BW, Germany",Ulm,
52.152573,9.94949,locality,Hildesheim,,,,1.0,Lower Saxony,NI,Hildesheim,Hildesheim,Hildesheim,,Germany,DEU,Europe,"Hildesheim, NI, Germany",Hildesheim,
50.141582,8.567638,locality,Eschborn,,,,1.0,Hesse,HE,Main-Taunus-Kreis,Eschborn,Eschborn,,Germany,DEU,Europe,"Eschborn, HE, Germany",Eschborn,
50.934886,12.423965,venue,Zurich,3,04603,Winkelgasse,1.0,Thuringia,TH,Altenburger Land,Saara,Nobitz,,Germany,DEU,Europe,"Zurich, Saara, TH, Germany",Zürich,
48.349526,13.312276,venue,Haus Innsbruck,6,94072,Dr.-Heim-Straße,1.0,Bavaria,BY,Passau,Bad Füssing,Bad Füssing,,Germany,DEU,Europe,"Haus Innsbruck, Bad Füssing, BY, Germany",Innsbruck,
48.84677,8.927857,locality,Weissach,,,,1.0,Baden-Württemberg,BW,Böblingen,Weissach,Weissach,,Germany,DEU,Europe,"Weissach, BW, Germany",Weissach,
51.309934,9.47572,locality,Kassel,,,,1.0,Hesse,HE,Kassel,Kassel,Kassel,,Germany,DEU,Europe,"Kassel, HE, Germany",Kassel,
48.798726,9.063708,locality,Gerlingen,,,,1.0,Baden-Württemberg,BW,Ludwigsburg,Gerlingen,Gerlingen,,Germany,DEU,Europe,"Gerlingen, BW, Germany",Gerlingen,
54.073601,10.772152,venue,London,,,,1.0,Schleswig-Holstein,SH,Ostholstein,Sierksdorf,Ostholstein-Mitte,,Germany,DEU,Europe,"London, Sierksdorf, SH, Germany",London,
48.453454,9.342943,locality,St. Johann,,,,0.6,Baden-Württemberg,BW,Reutlingen,St. Johann,St. Johann,,Germany,DEU,Europe,"St. Johann, BW, Germany",Sankt Johann,
50.20462,8.579778,locality,Oberursel,,,,1.0,Hesse,HE,Hochtaunuskreis,Oberursel,Oberursel (Taunus),,Germany,DEU,Europe,"Oberursel, HE, Germany",Oberursel,
47.77255,12.00719,neighbourhood,Jenbach,,,,0.6,Bavaria,BY,Rosenheim,Bad Feilnbach,Bad Feilnbach,Jenbach,Germany,DEU,Europe,"Jenbach, Bad Feilnbach, BY, Germany",Jenbach,
51.305449,6.631279,locality,Krefeld,,,,1.0,North Rhine-Westphalia,NW,Rhein-Kreis Neuss,Krefeld,Meerbusch,,Germany,DEU,Europe,"Krefeld, NW, Germany",Krefeld,
48.922758,9.132016,locality,Tamm,,,,1.0,Baden-Württemberg,BW,Ludwigsburg,Tamm,Bietigheim-Bissingen,,Germany,DEU,Europe,"Tamm, BW, Germany",Tamm,
49.199366,9.505019,locality,Öhringen,,,,1.0,Baden-Württemberg,BW,Hohenlohekreis,Öhringen,Öhringen,,Germany,DEU,Europe,"Öhringen, BW, Germany",Öhringen,
49.972939,8.055959,locality,Ingelheim am Rhein,,,,1.0,Rhineland-Palatinate,RP,Mainz-Bingen,Ingelheim am Rhein,Ingelheim am Rhein,,Germany,DEU,Europe,"Ingelheim am Rhein, RP, Germany",Ingelheim,
49.263541,7.082895,locality,Saarbrücken,,,,1.0,Saarland,SL,Saarpfalz-Kreis,Saarbrücken,St. Ingbert,,Germany,DEU,Europe,"Saarbrücken, SL, Germany",Saarbrücken,
48.492368,9.205621,locality,Reutlingen,,,,1.0,Baden-Württemberg,BW,Reutlingen,Reutlingen,Reutlingen,,Germany,DEU,Europe,"Reutlingen, BW, Germany",Reutlingen,
54.322148,10.122597,locality,Kiel,,,,1.0,Schleswig-Holstein,SH,Kiel,Kiel,Kiel,,Germany,DEU,Europe,"Kiel, SH, Germany",Kiel,
51.295678,6.831527,locality,Ratingen,,,,1.0,North Rhine-Westphalia,NW,Mettmann,Ratingen,Ratingen,,Germany,DEU,Europe,"Ratingen, NW, Germany",Ratingen,
49.021388,12.114729,locality,Regensburg,,,,1.0,Bavaria,BY,Regensburg,Regensburg,Regensburg,,Germany,DEU,Europe,"Regensburg, BY, Germany",Regensburg,
51.557355,7.913332,locality,Werl,,,,1.0,North Rhine-Westphalia,NW,Soest,Werl,Werl,,Germany,DEU,Europe,"Werl, NW, Germany",Verl,
52.444133,9.735693,locality,Langenhagen,,,,1.0,Lower Saxony,NI,Hannover,Langenhagen,Langenhagen,,Germany,DEU,Europe,"Langenhagen, NI, Germany",Langenhagen,
52.411044,13.224338,locality,Kleinmachnow,,,,1.0,Brandenburg,BB,Potsdam-Mittelmark,Kleinmachnow,Kleinmachnow,,Germany,DEU,Europe,"Kleinmachnow, BB, Germany",Kleinmachnow,
48.950239,9.137948,locality,Bietigheim-Bissingen,,,,1.0,Baden-Württemberg,BW,Ludwigsburg,Bietigheim-Bissingen,Bietigheim-Bissingen,,Germany,DEU,Europe,"Bietigheim-Bissingen, BW, Germany",Bietigheim-Bissingen,
53.870029,10.68237,locality,Lübeck,,,,1.0,Schleswig-Holstein,SH,Lübeck,Lübeck,Lübeck,,Germany,DEU,Europe,"Lübeck, SH, Germany",Lübeck,
51.498071,6.862345,locality,Oberhausen,,,,1.0,North Rhine-Westphalia,NW,Oberhausen,Oberhausen,Oberhausen,,Germany,DEU,Europe,"Oberhausen, NW, Germany",Oberhausen,
53.633013,11.401311,locality,Schwerin,,,,1.0,Mecklenburg-Vorpommern,MV,Schwerin,Schwerin,Schwerin,,Germany,DEU,Europe,"Schwerin, MV, Germany",Schwerin,
48.804506,9.528791,locality,Schorndorf,,,,1.0,Baden-Württemberg,BW,Rems-Murr-Kreis,Schorndorf,Schorndorf,,Germany,DEU,Europe,"Schorndorf, BW, Germany",Schorndorf,
50.664469,8.047053,locality,Salzburg,,,,0.6,Rhineland-Palatinate,RP,Westerwaldkreis,Salzburg,Rennerod,,Germany,DEU,Europe,"Salzburg, RP, Germany",AT-Salzburg-Fuschl,
50.355975,7.592158,locality,Koblenz,,,,1.0,Rhineland-Palatinate,RP,Koblenz,Koblenz,Koblenz,,Germany,DEU,Europe,"Koblenz, RP, Germany",Koblenz,
52.319699,10.240628,locality,Peine,,,,1.0,Lower Saxony,NI,Peine,Peine,Peine,,Germany,DEU,Europe,"Peine, NI, Germany",Peine,
48.000958,12.534377,locality,Altenmarkt an der Alz,,,,1.0,Bavaria,BY,Traunstein,Altenmarkt an der Alz,Altenmarkt a.d. Alz,,Germany,DEU,Europe,"Altenmarkt an der Alz, BY, Germany",Altenmarkt,
50.1374,8.837979,locality,Maintal,,,,1.0,Hesse,HE,Main-Kinzig-Kreis,Maintal,Maintal,,Germany,DEU,Europe,"Maintal, HE, Germany",Maintal,
50.782085,6.091484,venue,Brüssel,,,,1.0,North Rhine-Westphalia,NW,Aachen,Aachen,Aachen,,Germany,DEU,Europe,"Brüssel, Aachen, NW, Germany",Brüssel,
49.134789,10.053118,locality,Crailsheim,,,,1.0,Baden-Württemberg,BW,Schwäbisch Hall,Crailsheim,Crailsheim,,Germany,DEU,Europe,"Crailsheim, BW, Germany",Crailsheim,
48.107601,11.424074,locality,Planegg,,,,1.0,Bavaria,BY,München,Planegg,Planegg,,Germany,DEU,Europe,"Planegg, BY, Germany",Planegg,
54.402899,10.125692,locality,Altenholz,,,,1.0,Schleswig-Holstein,SH,Rendsburg-Eckernförde,Altenholz,Altenholz,,Germany,DEU,Europe,"Altenholz, SH, Germany",Altenholz,
51.488623,11.976793,locality,Halle,,,,1.0,Saxony-Anhalt,ST,Halle,Halle,Halle (Saale),,Germany,DEU,Europe,"Halle, ST, Germany",Halle,
48.690194,9.737014,locality,Salach,,,,1.0,Baden-Württemberg,BW,Göppingen,Salach,Eislingen-Ottenbach-Salach,,Germany,DEU,Europe,"Salach, BW, Germany",Saale,
52.421197,12.523106,locality,Brandenburg,,,,0.6,Brandenburg,BB,Brandenburg an der Havel,Brandenburg,Brandenburg an der Havel,,Germany,DEU,Europe,"Brandenburg, Germany",Brandenburg,
47.972194,7.92173,locality,Freiburg im Breisgau,,,,1.0,Baden-Württemberg,BW,Freiburg im Breisgau,Freiburg im Breisgau,Freiburg im Breisgau,,Germany,DEU,Europe,"Freiburg im Breisgau, BW, Germany",Freiburg,
50.587104,8.465509,locality,Aßlar,,,,1.0,Hesse,HE,Lahn-Dill-Kreis,Aßlar,Aßlar,,Germany,DEU,Europe,"Aßlar, HE, Germany",Aßlar,
50.562142,8.494371,locality,Wetzlar,,,,1.0,Hesse,HE,Lahn-Dill-Kreis,Wetzlar,Wetzlar,,Germany,DEU,Europe,"Wetzlar, HE, Germany",Wetzlar,
49.033805,8.708053,locality,Bretten,,,,1.0,Baden-Württemberg,BW,Karlsruhe,Bretten,Bretten,,Germany,DEU,Europe,"Bretten, BW, Germany",Bretten,
51.624656,6.195011,locality,Weeze,,,,1.0,North Rhine-Westphalia,NW,Kleve,Weeze,Weeze,,Germany,DEU,Europe,"Weeze, NW, Germany",Weeze,
47.673531,9.170081,locality,Konstanz,,,,1.0,Baden-Württemberg,BW,Konstanz,Konstanz,Konstanz,,Germany,DEU,Europe,"Konstanz, BW, Germany",Konstanz,
49.990709,8.663413,locality,Langen,,,,1.0,Hesse,HE,Offenbach,Langen,Langen (Hessen),,Germany,DEU,Europe,"Langen, HE, Germany",Langen,
51.47994,6.75966,locality,Duisburg,,,,1.0,North Rhine-Westphalia,NW,Duisburg,Duisburg,Duisburg,,Germany,DEU,Europe,"Duisburg, NW, Germany",Duisburg,
53.15846,8.210671,locality,Oldenburg,,,,1.0,Lower Saxony,NI,Oldenburg,Oldenburg,Oldenburg (Oldb),,Germany,DEU,Europe,"Oldenburg, NI, Germany",Oldenburg,
51.986869,9.255631,locality,Bad Pyrmont,,,,1.0,Lower Saxony,NI,Hameln-Pyrmont,Bad Pyrmont,Bad Pyrmont,,Germany,DEU,Europe,"Bad Pyrmont, NI, Germany",Bad Pyrmont,
